,season,date,time,comp,round,day,venue,result,gf,ga,team,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,dist,sota,save%,cs,psxg,cmp,cmp,cmp,cmp,cmp%,cmp%,cmp%,cmp%,prgdist,ast,ppa,prgp,sca,gca,tklw,int,tkl+int,err,succ,succ%,crdy,fls,won%
1,2022,2/16/2023,3:30,Premier League,Matchweek 24,Sat,Home,,,,Arsenal,Manchester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,2/16/2023,3:30,Premier League,Matchweek 24,Sat,Away,,,,Manchester City,Arsenal,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
